N,K,sigma,accept_rate,threshold,mean_quality_accepted,mean_quality_rejected,posterior_contrast,mutual_information_bits,tail_capture_top1pct,precision_top1pct,quality_dist
3200,200,1.0,0.0625,2.177623489224434,2.2825443628340234,-0.15375790669049108,2.4363022695245147,0.16694185777343815,0.98553714706414,0.15756033492130783,lognormal
6400,200,1.0,0.031249999999999993,2.8862086002408187,3.1465947305438124,-0.10304010340614508,3.2496348339499574,0.12040539621289591,0.9411308176703967,0.3009219637811612,lognormal
12800,200,1.0,0.015625000000000007,3.654895876857199,4.100264951832777,-0.06659622066549445,4.166861172498272,0.07971644554163602,0.8223823816727986,0.5259054673920516,lognormal
25600,200,1.0,0.007812500000000003,4.501177770314191,5.1168820351288895,-0.04179114909697344,5.158673184225863,0.04949527051496901,0.6094635408228202,0.7794919138293636,lognormal
51200,200,1.0,0.003906249999999999,5.429359864413952,6.174669150459097,-0.025709242944441497,6.200378393403539,0.029393918049800908,0.3692887348203513,0.9446260961635586,lognormal
102400,200,1.0,0.0019531250000000013,6.433741635676485,7.245109810102852,-0.01567022585293509,7.260780035955786,0.016919801225226006,0.19433520183634317,0.9942036447287006,lognormal
200,200,1.0,0.9999999990000001,-6.270629178730307,-0.008130406632766082,-0.34947175781980827,0.3413413511870422,6.669211932773807e-10,1.0,0.00999103565723765,pareto
400,200,1.0,0.5,-0.08009374010437612,0.1862699355835825,-0.20253074953179737,0.3888006851153799,0.08176600413731228,0.9998823202894193,0.019979719810126494,pareto
800,200,1.0,0.25,0.6782575528407244,0.4585262366021805,-0.1636826214995367,0.6222088581017172,0.10812587834317056,0.9985807808868173,0.03990742471398222,pareto
1600,200,1.0,0.12499999999999997,1.256087490658094,0.8701747969806243,-0.13360257896764044,1.0037773759482647,0.11419831935102398,0.9932302033173188,0.0793871869381227,pareto
3200,200,1.0,0.0625,1.7810939323162946,1.5003525168486525,-0.10869593522895808,1.6090484520776105,0.10876994193288125,0.9779756088107573,0.15633582671625582,pareto
6400,200,1.0,0.03124999999999999,2.32633593130988,2.4432753984053575,-0.0872080135992514,2.530483412004609,0.09555786254171397,0.9403075004120193,0.3006286641916752,pareto
12800,200,1.0,0.015625,2.9843858038362283,3.7508629044509343,-0.06779696747291762,3.818659871923852,0.07589526676245165,0.8502455759645403,0.543669366936029,pareto
25600,200,1.0,0.007812500000000002,3.8942447494073136,5.325498672543332,-0.050127486340386475,5.375626158883718,0.05223419020246318,0.6539472639427311,0.8363021344603156,pareto
51200,200,1.0,0.003906249999999999,5.149591466703614,7.030141923853449,-0.035731474938137026,7.065873398791586,0.031831741407034014,0.3850263940406703,0.984783981565737,pareto
102400,200,1.0,0.0019531250000000004,6.735057194596166,8.803708368426111,-0.025374709861387717,8.8290830782875,0.018329668331511922,0.19546517248542758,0.9998845471217229,pareto
200,200,1.5,0.9999999990000001,-10.812404287322138,3.4119853088135284e-09,-3.4119857791032278,3.411985782515213,8.420892830481452e-09,1.0,0.010036025764068117,gaussian
400,200,1.5,0.5,-1.3183898376064703e-16,0.442586711164195,-0.4425867111641951,0.8851734223283901,0.15758365819193487,0.9593645334044856,0.019256414329504798,gaussian
800,200,1.5,0.25,1.215953686757755,0.7050828867317623,-0.2350276289105874,0.9401105156423497,0.13189380029095787,0.8277710235848584,0.03323012524455658,gaussian
1600,200,1.5,0.12500000000000006,2.0738218313707195,0.9134959057558011,-0.13049941510797167,1.0439953208637727,0.09322142740014755,0.649372124875048,0.05213692295357219,gaussian
3200,200,1.5,0.06250000000000001,2.765675130224558,1.0915074180330575,-0.07276716120220386,1.1642745792352613,0.06107999792397828,0.47266540512627075,0.07589891486219624,gaussian
6400,200,1.5,0.03125,3.358087607321237,1.2493016826860823,-0.040300054280196215,1.2896017369662784,0.0381854370989603,0.3245259642582434,0.10422242992473053,gaussian
12800,200,1.5,0.015625000000000007,3.8829527842245737,1.3923998134703706,-0.022101584340799573,1.4145013978111702,0.023090797129968338,0.2127492103801319,0.13665001948959965,gaussian
25600,200,1.5,0.007812499999999995,4.358316425322483,1.524197559852072,-0.01200155558938643,1.5361991154414585,0.013615055854098536,0.1343677542369253,0.17261033498025444,gaussian
51200,200,1.5,0.003906250000000003,4.795504703059123,1.6469603176905347,-0.006458667912511931,1.6534189856030468,0.007869997707220074,0.0823062195658309,0.2114629988556028,gaussian
102400,200,1.5,0.001953125000000002,5.202152109386644,1.7622884246201076,-0.0034487053319375086,1.765737129952045,0.004476913940056046,0.04914660818282259,0.25253715222841927,gaussian
200,200,1.5,0.9999999990000003,-9.572730395664294,-0.0014890140421484795,-0.8045496106839051,0.8030605966417566,1.3162633262892652e-09,1.0,0.009992034264527189,lognormal
400,200,1.5,0.5,-0.07999757442814218,0.3448485202922441,-0.347826549982662,0.692675070274906,0.1130500669857597,0.9985697127260397,0.01995548555019984,lognormal
800,200,1.5,0.25,1.1011728125586284,0.7337715591849465,-0.2465758728552607,0.9803474320402072,0.13163770110506123,0.9876952366195165,0.039476338549373664,lognormal
1600,200,1.5,0.125,1.9923052392340899,1.2166847177766802,-0.17551383379119298,1.3921985515678732,0.12228852562752462,0.9557621099953708,0.07640006193808435,lognormal
3200,200,1.5,0.0625,2.773823364435625,1.8252359447680204,-0.12327067881942422,1.9485066235874446,0.1019820460611301,0.8918734402107649,0.14258607944473722,lognormal
6400,200,1.5,0.03125,3.518704157971708,2.5826988248792944,-0.08484991290083807,2.6675487377801326,0.07881556299313576,0.7890669021433713,0.2523002724907682,lognormal
12800,200,1.5,0.015625000000000007,4.273396666984546,3.4935536524924555,-0.05696588258072746,3.550519535073183,0.05696314755996397,0.6477918858001263,0.4142565576143863,lognormal
25600,200,1.5,0.007812500000000005,5.074207471591565,4.531751270760622,-0.037183820243679964,4.568935091004302,0.0385547700614331,0.48067357668815414,0.6147720759702995,lognormal
51200,200,1.5,0.003906250000000002,5.946819490704632,5.642993944789929,-0.023624242137895733,5.666618186927824,0.02450298123579245,0.3150012874174514,0.805760935449049,lognormal
102400,200,1.5,0.0019531250000000004,6.899382651044839,6.764477857162127,-0.014729654516456157,6.7792075116785835,0.01475336950308754,0.1821815120736955,0.9320263215018882,lognormal
200,200,1.5,0.9999999990000001,-9.238352416651583,-0.008130406660413432,-0.32182445519643615,0.31369404853602273,4.659654535607764e-10,1.0,0.00999103565723765,pareto
400,200,1.5,0.5000000000000001,-0.059253588612842994,0.15287195535263828,-0.1691327693008531,0.3220047246534914,0.04885723323181956,0.9954573108992548,0.01989129895701342,pareto
