N,K,sigma,accept_rate,threshold,mean_quality_accepted,mean_quality_rejected,posterior_contrast,mutual_information_bits,tail_capture_top1pct,precision_top1pct,quality_dist,policy
25600,3200,1.5,0.12500000000000006,2.0738218313707195,0.9134959057558011,-0.13049941510797167,1.0439953208637727,0.09322142740014755,0.649372124875048,0.05213692295357219,gaussian,sublinear_sqrt
51200,4525,1.5,0.08837890625000003,2.435198862343146,1.005533650564511,-0.09748344443073194,1.103017094995243,0.07599135943091506,0.5585626769741077,0.0634285900245937,gaussian,sublinear_sqrt
102400,6400,1.5,0.06250000000000001,2.765675130224558,1.0915074180330575,-0.07276716120220386,1.1642745792352613,0.06107999792397828,0.47266540512627075,0.07589891486219624,gaussian,sublinear_sqrt
200,60,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
400,120,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
800,240,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
1600,480,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
3200,960,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
6400,1920,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
12800,3840,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
25600,7680,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
51200,15360,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
